,model,mse,rmse,mape,r2
0,linear_regression,0.483505103611481,0.69534531249695,0.1787877635940399,0.8180122393806932
1,xgboost,0.40735591207564403,0.6382443983895543,0.15873601926479186,0.8466742343360006
2,random_forest,0.3701764346353907,0.6084212641216533,0.14271025727935233,0.860668315866492
3,lightgbm,0.3923147148969992,0.6263503132409205,0.15706332783998447,0.8523356301953804
